group	species	occurrence
birds	sp22696712	3628
birds	sp22721664	3627
birds	sp22710302	3625
birds	sp22736335	3624
birds	sp22700621	3622
birds	sp22678182	3610
birds	sp22697608	3607
birds	sp22707735	3607
birds	sp22699265	3601
birds	sp22713405	3600
birds	sp22696694	3599
birds	sp22687097	3594
birds	sp22696391	3590
birds	sp22717945	3587
birds	sp22692479	3584
birds	sp22722527	3583
birds	sp22679839	3579
birds	sp22734163	3574
birds	sp22736173	3574
birds	sp22719493	3569
birds	sp22713474	3546
birds	sp22690477	3545
birds	sp22696229	3545
birds	sp22701499	3542
birds	sp22679758	3541
birds	sp22683768	3540
birds	sp22719936	3540
birds	sp22710896	3539
birds	sp22689535	3531
birds	sp22721000	3530
birds	sp22721007	3523
birds	sp22697839	3521
birds	sp22705074	3518
birds	sp22680409	3515
birds	sp22696719	3512
birds	sp22688193	3509
birds	sp22708891	3508
birds	sp22688211	3505
birds	sp22691905	3501
birds	sp22720563	3493
birds	sp22692763	3492
birds	sp22724169	3490
birds	sp22683750	3488
birds	sp22724034	3486
birds	sp22685566	3484
birds	sp22695967	3484
birds	sp22720513	3484
birds	sp22699248	3481
birds	sp61634607	3481
birds	sp22721824	3477
birds	sp22717192	3475
birds	sp22708942	3474
birds	sp22711581	3471
birds	sp22696406	3460
birds	sp22696103	3459
birds	sp22695293	3457
birds	sp22722471	3455
birds	sp22710367	3454
birds	sp22697866	3453
birds	sp22700279	3451
birds	sp22720012	3450
birds	sp22695376	3447
birds	sp22684441	3442
birds	sp22686911	3439
birds	sp22697200	3435
birds	sp22682698	3431
birds	sp22700315	3430
birds	sp22693002	3428
birds	sp22686769	3427
birds	sp62023787	3427
birds	sp22680104	3425
birds	sp22696466	3424
birds	sp22682200	3416
birds	sp22709286	3415
birds	sp22719574	3415
birds	sp22710881	3412
birds	sp22736238	3408
birds	sp22723451	3403
birds	sp22720972	3399
birds	sp22700354	3396
birds	sp22715117	3396
birds	sp22685539	3393
birds	sp22719344	3392
birds	sp22678148	3390
birds	sp22694013	3383
birds	sp22709596	3379
birds	sp22697004	3378
birds	sp22720699	3378
birds	sp22706766	3377
birds	sp22723920	3377
birds	sp22695714	3374
birds	sp22725846	3373
birds	sp22678916	3372
birds	sp22690032	3370
birds	sp22695453	3369
birds	sp61781923	3365
birds	sp22722083	3364
birds	sp22701112	3360
birds	sp22703185	3360
birds	sp22696064	3356
birds	sp22689555	3354
birds	sp22694021	3354
birds	sp22699711	3344
birds	sp22689580	3342
birds	sp22713615	3340
birds	sp22693344	3339
birds	sp22709426	3337
birds	sp22700583	3335
birds	sp22708329	3335
birds	sp22711759	3334
birds	sp22717002	3334
birds	sp22686815	3331
birds	sp22684288	3330
birds	sp22693943	3328
birds	sp22679987	3326
birds	sp22679525	3307
birds	sp22695619	3305
birds	sp22695033	3298
birds	sp22712540	3297
birds	sp22706663	3295
birds	sp22722466	3295
birds	sp22686350	3290
birds	sp22694601	3290
birds	sp22723440	3289
birds	sp22717285	3288
birds	sp22684254	3284
birds	sp22705561	3284
birds	sp22707559	3284
birds	sp61686959	3281
birds	sp22718603	3275
birds	sp22715348	3272
birds	sp22700433	3267
birds	sp22706321	3267
birds	sp22721165	3267
birds	sp22690779	3266
birds	sp22705935	3265
birds	sp22679630	3261
birds	sp22703043	3258
birds	sp22706327	3250
birds	sp22687160	3246
birds	sp22725708	3240
birds	sp22681769	3236
birds	sp22681181	3233
birds	sp22680902	3232
birds	sp22686725	3232
birds	sp22699295	3231
birds	sp22714030	3230
birds	sp22717236	3229
birds	sp22735929	3228
birds	sp22723939	3227
birds	sp22680441	3225
birds	sp22717797	3220
birds	sp22734332	3218
birds	sp22699647	3214
birds	sp22705537	3213
birds	sp22708888	3213
birds	sp22684428	3212
birds	sp22713268	3206
birds	sp22735434	3201
birds	sp22697738	3198
birds	sp22700376	3194
birds	sp22697561	3190
birds	sp22704662	3187
birds	sp22683357	3186
birds	sp22722391	3185
birds	sp22682865	3179
birds	sp22718480	3177
birds	sp22706288	3166
birds	sp22711600	3162
birds	sp22697203	3158
birds	sp22714982	3158
birds	sp22699233	3157
birds	sp22705611	3152
birds	sp22702998	3151
birds	sp22682816	3150
birds	sp22692349	3149
birds	sp22690676	3141
birds	sp22695845	3140
birds	sp22692219	3136
birds	sp22715278	3133
birds	sp22696645	3132
birds	sp22704061	3131
birds	sp22696589	3118
birds	sp22685563	3117
birds	sp22724134	3116
birds	sp22679843	3112
birds	sp22709688	3110
birds	sp22679199	3109
birds	sp22680549	3104
birds	sp61692251	3103
birds	sp22705240	3102
birds	sp22721191	3100
birds	sp22689094	3099
birds	sp22711035	3098
birds	sp22693580	3092
birds	sp22700389	3091
birds	sp22706324	3089
birds	sp22735428	3085
birds	sp22695978	3082
birds	sp22701220	3082
birds	sp22687439	3078
birds	sp22680174	3072
birds	sp22690328	3066
birds	sp22700318	3065
birds	sp22695581	3064
birds	sp22707425	3059
birds	sp22713333	3056
birds	sp22722807	3056
birds	sp22680824	3053
birds	sp22680336	3048
birds	sp22694043	3048
birds	sp22689656	3047
birds	sp22722263	3046
birds	sp22707433	3044
birds	sp22721377	3042
birds	sp22686861	3036
birds	sp22700856	3036
birds	sp22720899	3034
birds	sp22703197	3032
birds	sp22706735	3032
birds	sp22694473	3028
birds	sp22720340	3028
birds	sp22682810	3027
birds	sp22723796	3027
birds	sp22723346	3025
birds	sp22694497	3024
birds	sp22697525	3024
birds	sp45430572	3024
birds	sp22712230	3018
birds	sp22706636	3014
birds	sp22718405	3011
birds	sp22717581	3008
birds	sp22717826	3008
birds	sp22721818	3001
birds	sp22721670	2991
birds	sp22690515	2990
birds	sp22700321	2990
birds	sp22678117	2981
birds	sp22690321	2981
birds	sp22688111	2978
birds	sp22696201	2978
birds	sp22704436	2975
birds	sp22682328	2973
birds	sp22712077	2971
